accelerometer_X,accelerometer_Y,accelerometer_Z,activity
0.80924,-15.897499,-1.666364,walking
-3.356671,-13.153744,-12.804191,walking
1.426944,-5.262455,-0.651223,walking
-0.263362,-6.019023000000001,1.235408,walking
-4.352658,-9.32781,0.713472,walking
-3.955221,-16.49605,3.438074,walking
-2.705448,-7.436389999999999,1.383849,walking
-4.577713,-17.645266,1.944092,walking
7.192182000000001,-25.201366,-16.903064999999998,walking
1.575385,-10.620679,1.58975,walking
-0.02873,-5.425261,0.8236049999999999,walking
3.4189199999999995,-6.675033999999999,1.158794,walking
1.891419,-11.669339,-1.570596,walking
-1.647211,-5.305551,9.169792,walking
3.399767,-15.586253,-0.8044520000000001,walking
4.572925,0.1819589999999999,32.59945,walking
5.60722,-13.005303,-0.378284,walking
3.672706,-10.874464,-7.058106,walking
1.939303,-9.097966,-2.782062,walking
-0.344765,-4.161122,1.23062,walking
-0.387861,-9.174581,3.031059,walking
-7.359775999999999,-15.322891,0.8523360000000001,walking
11.113884,-19.603724,-3.921702,walking
5.1092260000000005,-15.452178,-1.47004,walking
6.373365,-11.741165,-8.226476,walking
3.2896330000000003,-9.993398,-0.3830719999999999,walking
-2.978387,-3.0502130000000003,1.273715,walking
-4.34787,-9.92636,-1.642422,walking
-4.256891,-17.166426,-2.054225,walking
-12.277467,6.435614,2.853889,walking
1.426944,-5.262455,-0.651223,walking
-0.263362,-6.019023000000001,1.235408,walking
-4.352658,-9.32781,0.713472,walking
-3.955221,-16.49605,3.438074,walking
-2.705448,-7.436389999999999,1.383849,walking
-4.577713,-17.645266,1.944092,walking
7.192182000000001,-25.201366,-16.903064999999998,walking
1.575385,-10.620679,1.58975,walking
-0.02873,-5.425261,0.8236049999999999,walking
3.4189199999999995,-6.675033999999999,1.158794,walking
1.891419,-11.669339,-1.570596,walking
-1.647211,-5.305551,9.169792,walking
3.399767,-15.586253,-0.8044520000000001,walking
4.572925,0.1819589999999999,32.59945,walking
5.60722,-13.005303,-0.378284,walking
3.672706,-10.874464,-7.058106,walking
1.939303,-9.097966,-2.782062,walking
-0.344765,-4.161122,1.23062,walking
-0.387861,-9.174581,3.031059,walking
-7.359775999999999,-15.322891,0.8523360000000001,walking
11.113884,-19.603724,-3.921702,walking
5.1092260000000005,-15.452178,-1.47004,walking
6.373365,-11.741165,-8.226476,walking
3.2896330000000003,-9.993398,-0.3830719999999999,walking
-2.978387,-3.0502130000000003,1.273715,walking
-4.34787,-9.92636,-1.642422,walking
-4.256891,-17.166426,-2.054225,walking
-12.277467,6.435614,2.853889,walking
-7.8865,-16.82645,4.912902,walking
4.13718,-23.673866,-10.807426,walking
-4.352658,-9.32781,0.713472,walking
-3.955221,-16.49605,3.438074,walking
-2.705448,-7.436389999999999,1.383849,walking
-4.577713,-17.645266,1.944092,walking
7.192182000000001,-25.201366,-16.903064999999998,walking
1.575385,-10.620679,1.58975,walking
-0.02873,-5.425261,0.8236049999999999,walking
3.4189199999999995,-6.675033999999999,1.158794,walking
1.891419,-11.669339,-1.570596,walking
-1.647211,-5.305551,9.169792,walking
3.399767,-15.586253,-0.8044520000000001,walking
4.572925,0.1819589999999999,32.59945,walking
